,Population Density (Per Sq. Mile),Area (Land),% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,Households:,Median Household Income (In 2019 Inflation Adjusted Dollars),Per Capita Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units with Cash Rent,Population for Whom Poverty Status Is Determined:,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
88,6429.397,0.268143327,0.58,1.04,982,59878,60284,334,648,334,1724,0.461480021,-0.15685308,10,30.81173897,36.64136505,47644.8125,47695.88672,48473.46094,15353.28125,15417.7666,69.28060913,68.53417969,86.15753174,84.35084534,83.64453888,81.36066437
89,12198.03,0.133300232,7.26,0,1308,57424,73214,1164,144,1164,1626,0.220381036,-0.024829697,50,60.98289108,22.66743851,48126.41016,47853.19531,48392.59375,15397.5918,15446.05957,71.23948669,70.4381485,85.9539566,84.8322525,84.91918182,82.81955719
90,1884.542,0.591655637,1.26,0.72,501,107321,63409,140,361,140,1115,0.284786791,-0.098954022,50,48.78580475,35.50123215,47798.89063,47677.37109,48061.64844,15346.24902,15378.25977,69.63713074,68.85793304,86.00577545,84.48571014,84.58841705,82.31642914
91,7676.289,0.121152299,5.16,0.43,332,43429,23308,292,40,292,572,0.389621973,-0.119373165,10,40.35472107,36.52581406,47911.03125,47673.21875,48218.28906,15375.26758,15321.5,69.32022095,68.60368347,85.75421143,84.16934967,84.2059021,82.04463959
92,2995.892,0.392203748,2.81,1.96,631,77386,51425,160,471,146,1144,0.478382945,-0.163371548,10,14.49908543,41.94115448,46202.66016,47200.96484,47422.63281,15379.93945,15320.6709,68.40158844,67.71670532,86.86051178,84.66899109,83.65312958,80.98843384
93,3885.287,0.433172663,1.37,1.49,808,74643,42776,323,485,315,1683,0.4367899,-0.173177749,10,17.21247292,46.27842331,46151.41016,46978.86719,47124.96875,15375.65723,15321.7959,68.56754303,67.84702301,86.76579285,84.63345337,83.68982697,80.99606323
94,1746.251,0.476449312,4.21,3.49,339,45096,29663,153,186,135,832,0.423775315,-0.125299469,10,37.04355621,54.82639694,46449.58984,46835.89453,46987.34375,15370.22266,15445.25293,69.51573181,68.74539948,85.86655426,84.16725922,83.15705872,81.04537964
95,4663.965,0.268226725,2.24,0.72,105,23542,4476,66,39,66,290,0.382070363,-0.061195064,50,28.20953369,35.99824524,45825.28906,47034.04297,47291.33203,15393.24707,15274.54102,68.48843384,67.69116211,87.22328186,84.83957672,83.65526581,81.07652283
96,5844.349,0.199680076,4.37,0,452,38712,16553,276,176,269,1167,0.330796272,-0.210404694,10,31.25570488,29.08081245,45622.54297,47081.9375,47347.51172,15397.17285,15367,68.90637207,68.0851593,87.09414673,85.07022858,84.10469055,81.4972229
97,7517.583,0.163217359,0.41,1.47,483,85750,47074,219,264,219,1227,0.454131454,-0.142576784,10,29.9115715,34.37073898,46600.09375,47648.44531,47918.32813,15399.80957,,68.98693848,68.13775635,86.80643463,84.85965729,84.16664886,81.4095459
