GEOID10,B_NAIP,G_NAIP,R_NAIP,NIR_NAIP,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
37063000900,100.6707611,116.4377289,95.180336,173.5481567,0.486582041,-0.150743291,10,32.23234558,46.39385605,45773.16797,47030.875,46402.01953,15329.46289,15498.17676,67.85887909,67.17556,85.33255005,84.0984726,83.35593414,81.11773682
37063000200,100.2961273,114.4281158,92.69767761,173.5761261,0.495456219,-0.168680847,10,33.16947937,59.43579483,42889.80859,46453.51953,44671.66406,15274.47168,15323.05273,67.75138092,67.0901413,85.63253784,83.786026,82.41208649,80.48986053
37063001001,104.5095673,120.5217285,102.0414276,168.6592255,0.469619989,-0.141748711,10,31.84450531,42.58813858,44302.21094,46981.73828,45641.97266,15298.64258,15430.98926,67.65965271,67.04801941,85.26670074,84.11269379,83.58718109,81.260849
37063001303,103.4644775,119.4702072,99.70067596,175.4566803,0.423129261,-0.11816176,10,34.0807991,47.30322647,46145.12891,46928.81641,46536.97266,15216.83789,15324.10156,68.30608368,67.58214569,86.24604034,84.71694183,83.97904205,81.79506683
37063002016,119.1626129,136.7861328,120.5044022,180.5548859,0.436310112,-0.145676643,10,40.56368256,54.88515091,44135.54297,46619.55469,45377.55078,15206.08594,15279.60156,68.15150452,67.47118378,85.05052185,84.00927734,83.64516449,81.83808899
37063001301,99.02136993,113.9020767,93.23447418,175.7238312,0.49055168,-0.157906726,10,30.34618187,44.56788254,46407.15625,47322.07813,46864.62109,15260.59766,15376.79883,68.60704803,67.76021576,86.13056946,84.45463562,83.60509491,81.49880981
37063002009,99.28220367,116.8012314,93.00473785,181.0184784,0.539957821,-0.206405342,10,25.74010086,63.07581329,44704.94141,46630.82813,45667.88281,15189.73926,15265.59961,68.10139465,67.38645935,85.68559265,83.66229248,82.23093414,80.37987518
37063001304,95.91294861,113.3666306,87.94967651,179.8738403,0.551245511,-0.190049544,10,22.27571869,58.37603378,44210.00781,46286.31641,45248.16016,15187.12598,15255.06445,67.73510742,67.10053253,85.80491638,83.81764984,82.66564941,80.67076111
37063001503,109.3524323,126.240799,108.5093307,177.6051636,0.44875735,-0.067261159,10,28.14984894,32.66937637,43094.80078,47142.82813,45118.81641,15326.38574,15373.96387,68.57062531,67.74291992,85.80808258,84.28665924,83.94817352,81.92713928
37063001501,116.1801605,131.0031128,116.0441513,168.3639679,0.416369379,-0.117190287,10,42.06010818,53.9635582,45521.83594,47001.85547,46261.84766,15191.75586,15220.00391,69.07183075,68.2613678,85.44073486,84.09552765,83.77965546,81.81558228
37063000101,99.02255249,114.1732025,93.00950623,174.1312714,0.537966788,-0.195558265,10,26.41469002,61.7585144,43462.40234,46229.26563,44845.83594,15211.30371,15248.70996,67.55599976,66.94442749,85.605896,83.48838043,81.56716156,79.91891479
37063002200,132.1239319,143.6899719,137.071991,165.9093018,0.230387241,-0.010811276,50,65.22157288,28.2716198,43227.18359,47785.47656,45506.33203,15332.63672,15431.90137,69.52494812,68.51634979,86.97629547,84.93052673,85.0220108,83.01117706
37063002026,98.01527405,116.3877258,92.42470551,178.0209656,0.510676205,-0.194973454,10,28.75901031,64.28925323,44748.12109,46640.79297,45694.45313,15185.2041,15281.45313,68.01110077,67.28106689,85.51480103,83.90381622,83.12284851,80.98646545
37063002300,117.7497406,134.057251,121.7881546,176.9598846,0.346253455,-0.049411573,50,46.09617996,31.75853729,44292.89453,47744.85547,46018.875,15282.29492,15394.07617,69.55026245,68.58638,86.11197662,84.37432098,84.2848053,82.56651306
37183053722,108.5044708,123.0340424,104.4691467,157.0650024,0.522699118,-0.236556277,10,20.77082634,57.22380447,45029.11719,46317.48438,45568.17188,15192.0127,15219.16406,68.14716339,67.48462677,85.59052277,83.45139313,82.21543884,80.25933075
37183053723,119.7573929,135.0942993,120.7269592,158.7548523,0.449926734,-0.182861879,10,32.06847,50.53859329,46134.85156,46749.80078,45422.28125,15221.18652,15284.12695,68.60187531,67.88796234,85.79967499,84.02490234,83.0978241,81.04570007
37183054014,107.0342026,125.7581024,106.3363495,166.140274,0.469503909,-0.207604885,10,27.32734299,64.26108551,45032.78125,46429.42969,43907.14844,15236.85449,15278.18555,68.79759979,68.0756073,86.2038269,84.14500427,83.08960724,80.86927795
37183054017,112.2007294,134.8890076,118.0526123,165.3613129,0.372378439,-0.178627908,10,35.90225983,47.74899292,46815.91797,46867.00781,44598.74609,15275.51465,15356.4248,69.1852417,68.45233917,86.5688324,84.53270721,83.67732239,81.33742523
37183054016,109.2146454,129.6034546,109.1986313,166.562851,0.417836875,-0.228579551,10,33.4625473,58.16703033,45778.64063,46572.48438,42977.53906,15226.42871,15267.1084,68.89455414,68.14048004,86.09853363,84.03195953,82.79860687,80.68254089
